objectCount,operationTimeMs,heapUsedMB,heapMaxMB
488,5.694,43,4026
489,6.076,43,4026
490,5.532,44,4026
491,6.240,44,4026
492,5.029,45,4026
493,6.897,46,4026
494,6.605,46,4026
495,5.364,47,4026
496,15.456,47,4026
497,4.587,48,4026
498,5.217,48,4026
499,4.439,49,4026
