objectCount,operationTimeMs,heapUsedMB,heapMaxMB
417,14.136,76,4026
418,3.598,76,4026
419,14.609,77,4026
420,3.410,78,4026
421,3.247,79,4026
422,13.493,79,4026
423,13.631,80,4026
424,3.241,81,4026
425,14.838,81,4026
426,4.603,82,4026
427,3.921,83,4026
428,4.045,84,4026
429,3.595,84,4026
430,15.264,85,4026
431,3.578,86,4026
432,3.612,87,4026
433,3.166,87,4026
434,4.101,38,4026
435,4.202,39,4026
436,13.730,39,4026
437,2.984,40,4026
438,15.008,41,4026
439,3.761,42,4026
440,14.410,42,4026
441,3.067,43,4026
442,4.795,44,4026
443,15.373,45,4026
444,3.879,45,4026
445,3.482,46,4026
446,14.427,47,4026
447,3.619,48,4026
448,5.306,48,4026
449,3.440,49,4026
450,15.129,50,4026
451,13.776,51,4026
452,5.326,51,4026
453,4.016,52,4026
454,13.982,53,4026
455,14.135,53,4026
456,15.464,54,4026
457,2.920,55,4026
458,3.256,56,4026
459,2.977,56,4026
460,12.556,57,4026
461,3.950,58,4026
462,14.211,59,4026
463,3.723,59,4026
464,13.940,60,4026
465,13.670,61,4026
466,4.057,62,4026
467,3.464,62,4026
468,13.848,63,4026
469,14.208,64,4026
470,4.429,64,4026
471,14.271,65,4026
472,4.318,68,4026
473,14.011,69,4026
474,3.685,70,4026
475,4.364,71,4026
476,4.518,71,4026
477,14.129,72,4026
478,13.749,73,4026
479,14.179,74,4026
480,13.792,74,4026
481,3.949,75,4026
482,3.293,76,4026
483,4.582,76,4026
484,2.815,77,4026
485,14.119,78,4026
486,14.212,79,4026
487,3.563,79,4026
488,13.351,80,4026
489,5.391,81,4026
490,3.722,82,4026
491,3.503,82,4026
492,4.216,83,4026
493,4.938,84,4026
494,5.119,85,4026
495,4.503,85,4026
496,4.683,38,4026
497,14.348,39,4026
498,4.870,39,4026
499,4.375,40,4026
500,15.941,41,4026
