objectCount,operationTimeMs,heapUsedMB,heapMaxMB
454,4.351,61,3656
455,4.080,62,3656
456,4.282,62,3656
457,3.514,63,3656
458,4.005,64,3656
459,3.873,65,3656
460,3.649,65,3656
461,5.837,66,3656
462,4.574,67,3656
463,8.268,67,3656
464,26.739,68,3656
465,7.540,69,3656
466,5.876,69,3656
467,6.666,70,3656
468,17.634,71,3656
469,4.572,71,3656
470,4.878,72,3656
471,5.277,73,3656
472,4.735,76,3656
473,5.645,77,3656
474,4.932,77,3656
475,4.947,78,3656
476,5.836,79,3656
477,5.506,80,3656
478,4.606,80,3656
479,3.771,81,3656
480,3.961,82,3656
481,3.654,82,3656
482,3.616,83,3656
483,4.258,84,3656
484,3.661,84,3656
485,6.015,85,3656
486,3.559,86,3656
487,4.050,86,3656
488,3.359,87,3656
489,3.376,88,3656
490,3.423,89,3656
491,2.708,89,3656
492,2.700,90,3656
493,2.754,91,3656
494,3.298,91,3656
495,2.548,92,3656
496,3.261,93,3656
497,2.362,93,3656
498,3.496,94,3656
499,3.038,95,3656
500,3.380,95,3656
